データコード,FM02'STRACLCOON,FM02'STRACLUCON
系列名称,"有担保コールレート・翌日物(a)　月平均(b)／金利","無担保コールレート・Ｏ／Ｎ　月平均／金利"
1975/01,12.674 ,
1975/02,13     ,
1975/03,12.92  ,
1975/04,12.02  ,
1975/05,11.06  ,
1975/06,10.72  ,
1975/07,11     ,
1975/08,10.692 ,
1975/09,9.667  ,
1975/10,8.731  ,
1975/11,7.609  ,
1975/12,7.963  ,
1976/01,7.283  ,
1976/02,7      ,
1976/03,7      ,
1976/04,6.75   ,
1976/05,6.75   ,
1976/06,6.904  ,
1976/07,7.083  ,
1976/08,7.25   ,
1976/09,7.052  ,
1976/10,6.77   ,
1976/11,6.771  ,
1976/12,7.111  ,
1977/01,7      ,
1977/02,7      ,
1977/03,6.692  ,
1977/04,5.87   ,
1977/05,5.182  ,
1977/06,5.476  ,
1977/07,5.659  ,
1977/08,5.75   ,
1977/09,4.979  ,
1977/10,4.915  ,
1977/11,4.62   ,
1977/12,5.014  ,
1978/01,4.788  ,
1978/02,4.804  ,
1978/03,4.62   ,
1978/04,4.141  ,
1978/05,4.06   ,
1978/06,4.106  ,
1978/07,4.442  ,
1978/08,4.394  ,
1978/09,4.25   ,
1978/10,4.18   ,
1978/11,3.932  ,
1978/12,4.567  ,
1979/01,4.288  ,
1979/02,4.348  ,
1979/03,4.639  ,
1979/04,4.8854 ,
1979/05,5.115  ,
1979/06,5.3438 ,
1979/07,5.8029 ,
1979/08,6.6852 ,
1979/09,6.8098 ,
1979/10,6.7428 ,
1979/11,7.5807 ,
1979/12,8.0457 ,
1980/01,8.0571 ,
1980/02,8.7396 ,
1980/03,10.73  ,
1980/04,12.21  ,
1980/05,12.5625,
1980/06,12.6425,
1980/07,12.7014,
1980/08,12.0865,
1980/09,11.4036,
1980/10,11.0361,
1980/11,9.5    ,
1980/12,9.4884 ,
1981/01,8.9076 ,
1981/02,8.6033 ,
1981/03,8.035  ,
1981/04,7.185  ,
1981/05,7.0573 ,
1981/06,7.1178 ,
1981/07,7.2593 ,
1981/08,7.2356 ,
1981/09,7.2578 ,
1981/10,7.0505 ,
1981/11,6.7989 ,
1981/12,6.7014 ,
1982/01,6.5761 ,
1982/02,6.5761 ,
1982/03,6.6755 ,
1982/04,7.1625 ,
1982/05,7.1667 ,
1982/06,7.1875 ,
1982/07,7.1852 ,
1982/08,7.1827 ,
1982/09,6.987  ,
1982/10,6.9175 ,
1982/11,6.6849 ,
1982/12,6.9213 ,
1983/01,6.6413 ,
1983/02,6.5734 ,
1983/03,6.6923 ,
1983/04,6.295  ,
1983/05,6.0807 ,
1983/06,6.1971 ,
1983/07,6.387  ,
1983/08,6.4567 ,
1983/09,6.5326 ,
1983/10,6.4271 ,
1983/11,5.9864 ,
1983/12,6.4375 ,
1984/01,6.0511 ,
1984/02,6.0417 ,
1984/03,6.4525 ,
1984/04,5.8832 ,
1984/05,5.7422 ,
1984/06,5.9075 ,
1984/07,6.03   ,
1984/08,6.113  ,
1984/09,6.3153 ,
1984/10,6.1525 ,
1984/11,6.1033 ,
1984/12,6.4075 ,
1985/01,6.1676 ,
1985/02,6.1619 ,
1985/03,6.4167 ,
1985/04,6.0729 ,
1985/05,6.0052 ,
1985/06,6.1276 ,
1985/07,6.1875 ,6.4167
1985/08,6.1683 ,6.2476
1985/09,6.4063 ,6.4972
1985/10,6.5375 ,6.66
1985/11,7.288  ,7.4185
1985/12,8.02   ,8.2425
1986/01,6.8438 ,7.0455
1986/02,5.7813 ,6.0256
1986/03,5.5339 ,5.7552
1986/04,4.7031 ,4.9661
1986/05,4.2135 ,4.3984
1986/06,4.3906 ,4.5234
1986/07,4.5048 ,4.6298
1986/08,4.5521 ,4.6771
1986/09,4.6307 ,4.7585
1986/10,4.4089 ,4.5365
1986/11,3.7708 ,3.9048
1986/12,4.1825 ,4.315
1987/01,4.0863 ,4.3304
1987/02,4.0536 ,4.2768
1987/03,3.8542 ,3.9922
1987/04,3.519  ,3.7147
1987/05,3.1648 ,3.2955
1987/06,3.1615 ,3.3073
1987/07,3.1675 ,3.295
1987/08,3.1901 ,3.3151
1987/09,3.3892 ,3.5142
1987/10,3.3725 ,3.5
1987/11,3.3899 ,3.5268
1987/12,3.8125 ,3.9575
1988/01,3.5446 ,3.6994
1988/02,3.3977 ,3.5852
1988/03,3.5234 ,3.7734
1988/04,3.3397 ,3.4946
1988/05,3.2381 ,3.4643
1988/06,3.4193 ,3.5938
1988/07,3.6641 ,3.8646
1988/08,3.7925 ,3.98
1988/09,3.8778 ,4.0852
1988/10,3.9212 ,4.1712
1988/11,3.7045 ,3.9432
1988/12,4.04   ,4.3625
1989/01,3.83036,4.09375
1989/02,3.89145,4.17928
1989/03,4.00568,4.25426
1989/04,4.05   ,4.42031
1989/05,4.18594,4.675
1989/06,4.84659,5.13778
1989/07,5.0506 ,5.2247
1989/08,5.22418,5.38043
1989/09,5.275  ,5.43125
1989/10,5.84077,6.00893
1989/11,5.97813,6.15156
1989/12,6.2872 ,6.44792
1990/01,6.42599,6.58059
1990/02,6.47697,6.64309
1990/03,6.64583,6.81696
1990/04,6.99844,7.1625
1990/05,7.09821,7.25893
1990/06,7.20387,7.36458
1990/07,7.36648,7.52415
1990/08,7.38315,7.54348
1990/09,7.57401,7.76316
1990/10,7.65199,7.81108
1990/11,7.92344,8.07656
1990/12,8.15313,8.22969
1991/01,8.00164,8.05428
1991/02,8.04934,8.12007
1991/03,8.19063,8.27813
1991/04,8.1622 ,8.23363
1991/05,7.96875,8.03274
1991/06,7.96406,8.04063
1991/07,7.38995,7.4606
1991/08,7.42188,7.48438
1991/09,6.97039,7.04934
1991/10,6.79261,6.85795
1991/11,6.325  ,6.38281
1991/12,6.24702,6.30952
1992/01,5.46546,5.52632
