,１０年国債利回り　月末値　１５時時点,ＴＩＢＯＲ　３ヶ月,東京　中心　コールレート　有担保翌日物平均
,パーセント,パーセント,パーセント
1975/01,11.05,13.42,12.674
1975/02,9.27,13.75,13
1975/03,9.74,13.67,12.92
1975/04,9.6,12.77,12.02
1975/05,9.21,12.25,11.06
1975/06,9.11,11.85,10.72
1975/07,9.5,11.75,11
1975/08,9.51,11.44,10.692
1975/09,9.6,10.25,9.667
1975/10,9.63,9.55,8.731
1975/11,9.61,9.05,7.609
1975/12,9.36,8.97,7.963
1976/01,8.8,8.03,7.283
1976/02,8.69,7.75,7
1976/03,8.82,7.75,7
1976/04,8.96,7.25,6.75
1976/05,9.11,7.25,6.75
1976/06,9.19,7.54,6.904
1976/07,9.09,7.75,7.083
1976/08,8.95,7.75,7.25
1976/09,9.01,7.5,7.052
1976/10,9.09,7.53,6.77
1976/11,9.17,8,6.771
1976/12,8.88,7.98,7.111
1977/01,8.59,7.5,7
1977/02,8.5,7.5,7
1977/03,8.32,7.19,6.692
1977/04,7.83,6.37,5.87
1977/05,7.61,5.75,5.182
1977/06,7.47,6.05,5.476
1977/07,6.81,6.25,5.659
1977/08,6.92,6.25,5.75
1977/09,6.96,5.34,4.979
1977/10,6.94,5.49,4.915
1977/11,6.77,5.75,4.62
1977/12,6.58,5.73,5.014
1978/01,6.51,5.25,4.788
1978/02,6.59,5.25,4.804
1978/03,6.64,4.88,4.62
1978/04,6.6,4.5,4.141
1978/05,6.58,4.5,4.06
1978/06,6.62,4.75,4.106
1978/07,6.62,4.75,4.442
1978/08,6.66,4.63,4.394
1978/09,6.71,4.5,4.25
1978/10,6.68,4.5,4.18
1978/11,6.65,4.86,3.932
1978/12,6.65,4.75,4.567
1979/01,6.61,4.54,4.288
1979/02,6.78,4.53,4.348
1979/03,6.95,4.54,4.639
1979/04,7.47,5.24,4.8854
1979/05,7.49,5.33,5.115
1979/06,8.01,5.42,5.3438
1979/07,7.72,5.99,5.8029
1979/08,7.67,6.55,6.6852
1979/09,7.78,6.75,6.8098
1979/10,8.38,7.03,6.7428
1979/11,8.73,7.76,7.5807
1979/12,8.61,8.22,8.0457
1980/01,8.48,8.37,8.0571
1980/02,8.57,8.88,8.7396
1980/03,9.43,11.94,10.73
1980/04,10,13.19,12.21
1980/05,9.25,12.85,12.5625
1980/06,8.59,11.73,12.6425
1980/07,8.7,11.28,12.7014
1980/08,8.84,11.38,12.0865
1980/09,8.94,10.94,11.4036
1980/10,8.92,10.75,11.0361
1980/11,9.21,9.67,9.5
1980/12,9.21,9.58,9.4884
1981/01,8.87,8.87,8.9076
1981/02,8.64,8.43,8.6033
1981/03,8.54,7.86,8.035
1981/04,8.31,7.24,7.185
1981/05,8.58,7.28,7.0573
1981/06,8.75,7.43,7.1178
1981/07,8.49,7.45,7.2593
1981/08,8.59,7.48,7.2356
1981/09,8.68,7.43,7.2578
1981/10,8.7,7.41,7.0505
1981/11,8.28,7.29,6.7989
1981/12,8.07,6.78,6.7014
1982/01,7.96,6.51,6.5761
1982/02,7.98,6.62,6.5761
1982/03,7.65,6.61,6.6755
1982/04,7.72,6.92,7.1625
1982/05,7.71,7.06,7.1667
1982/06,8.34,7.19,7.1875
1982/07,8.3,7.33,7.1852
1982/08,8.28,7.35,7.1827
1982/09,8.32,7.31,6.987
1982/10,8.44,7.23,6.9175
1982/11,8.36,7.19,6.6849
1982/12,7.74,7.08,6.9213
1983/01,7.58,6.69,6.6413
1983/02,7.66,6.86,6.5734
1983/03,7.68,6.9,6.6923
1983/04,7.64,6.64,6.295
1983/05,7.46,6.42,6.0807
1983/06,7.59,6.59,6.1971
1983/07,7.48,6.68,6.387
1983/08,7.67,6.79,6.4567
1983/09,7.49,6.88,6.5326
1983/10,7.41,6.73,6.4271
1983/11,7.38,6.49,5.9864
1983/12,7.19,6.57,6.4375
