ÉfÅ[É^ÉRÅ[Éh,MD02'MAMS1AAM2CX12,MD02'MAMS3AAM2CX12,MD02'MAM1NAM3CDMO,MD02'MAM1XAM2M2MO
ånóÒñºèÃ,"ÅiçXêVí‚é~ÅjãåÇlÇQÅ{ÇbÇcÅ^ïΩÅ^ãGÅ^É}ÉlÅ[ÉTÉvÉâÉCÅi1999îN3åéÇ‹Ç≈Åj","ÅiçXêVí‚é~ÅjÇlÇQÅ{ÇbÇcÅ^ïΩÅ^ãGÅ^É}ÉlÅ[ÉTÉvÉâÉCÅi2008îN4åéÇ‹Ç≈Åj","ÅQÇbÇcÅ^ïΩÅ^É}ÉlÅ[ÉXÉgÉbÉN","ÇlÇQÅ^ïΩÅ^ãGÅ^É}ÉlÅ[ÉXÉgÉbÉN"
1975/01,1064359,       ,      ,
1975/02,1075694,       ,      ,
1975/03,1085582,       ,      ,
1975/04,1100915,       ,      ,
1975/05,1109974,       ,      ,
1975/06,1118154,       ,      ,
1975/07,1134170,       ,      ,
1975/08,1148883,       ,      ,
1975/09,1160931,       ,      ,
1975/10,1175791,       ,      ,
1975/11,1189076,       ,      ,
1975/12,1206248,       ,      ,
1976/01,1224071,       ,      ,
1976/02,1240288,       ,      ,
1976/03,1255102,       ,      ,
1976/04,1268425,       ,      ,
1976/05,1282988,       ,      ,
1976/06,1298715,       ,      ,
1976/07,1309443,       ,      ,
1976/08,1322274,       ,      ,
1976/09,1334795,       ,      ,
1976/10,1350063,       ,      ,
1976/11,1360055,       ,      ,
1976/12,1373314,       ,      ,
1977/01,1385175,       ,      ,
1977/02,1396103,       ,      ,
1977/03,1407722,       ,      ,
1977/04,1413754,       ,      ,
1977/05,1427090,       ,      ,
1977/06,1440794,       ,      ,
1977/07,1454729,       ,      ,
1977/08,1465744,       ,      ,
1977/09,1484080,       ,      ,
1977/10,1493448,       ,      ,
1977/11,1507352,       ,      ,
1977/12,1520599,       ,      ,
1978/01,1533661,       ,      ,
1978/02,1547244,       ,      ,
1978/03,1563664,       ,      ,
1978/04,1581146,       ,      ,
1978/05,1590860,       ,      ,
1978/06,1613144,       ,      ,
1978/07,1629196,       ,      ,
1978/08,1645349,       ,      ,
1978/09,1661777,       ,      ,
1978/10,1675278,       ,      ,
1978/11,1692470,       ,      ,
1978/12,1706544,       ,      ,
1979/01,1724438,       ,      ,
1979/02,1738715,       ,      ,
1979/03,1754983,       ,      ,
1979/04,1772950,       ,      ,
1979/05,1793863,       ,      ,
1979/06,1804122,       ,      ,
1979/07,1822315,       ,      ,
1979/08,1839320,       ,      ,
1979/09,1851667,       ,      ,
1979/10,1867482,       ,      ,
1979/11,1880271,       ,      ,
1979/12,1894933,       ,      ,
1980/01,1909051,       ,      ,
1980/02,1925684,       ,      ,
1980/03,1939901,       ,      ,
1980/04,1956762,       ,      ,
1980/05,1978653,       ,      ,
1980/06,1977777,       ,      ,
1980/07,1983239,       ,      ,
1980/08,1990906,       ,      ,
1980/09,2000782,       ,      ,
1980/10,2009719,       ,      ,
1980/11,2028017,       ,      ,
1980/12,2042592,       ,      ,
1981/01,2052071,       ,      ,
1981/02,2070277,       ,      ,
1981/03,2086347,       ,      ,
1981/04,2112471,       ,      ,
1981/05,2126524,       ,      ,
1981/06,2144647,       ,      ,
1981/07,2162813,       ,      ,
1981/08,2183325,       ,      ,
1981/09,2202252,       ,      ,
1981/10,2224566,       ,      ,
1981/11,2240478,       ,      ,
1981/12,2255981,       ,      ,
1982/01,2271942,       ,      ,
1982/02,2288123,       ,      ,
